AgentCache Benchmark Comparison
completed_tasks: baseline=29.0 candidate=28.0
failed_tasks: baseline=3.0 candidate=4.0
tasks_with_patch: baseline=29.0 candidate=32.0
mean_task_duration_seconds: baseline=4459.443238444859 candidate=3135.877675281088
p50_task_duration_seconds: baseline=4486.158857379458 candidate=2682.6739306829404
p95_task_duration_seconds: baseline=7454.975769767992 candidate=5831.964055519027
p99_task_duration_seconds: baseline=7664.9461358054 candidate=5976.070345683726
run_wall_time_seconds: baseline=9568.422086 candidate=6834.068376
request_throughput_per_second: baseline=0.2297139465885389 candidate=0.3131370484256917
input_token_throughput_per_second: baseline=6743.289585270914 candidate=9877.095645845497
output_token_throughput_per_second: baseline=44.2748026991668 candidate=65.14377315325825
requests: baseline=2198.0 candidate=2140.0
successful_requests: baseline=2191.0 candidate=2115.0
failed_requests: baseline=7.0 candidate=25.0
input_tokens: baseline=64522641.0 candidate=67500747.0
output_tokens: baseline=423640.0 candidate=445197.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.28579771408528193 candidate=0.7012199333697832
vllm_prompt_token_hit_rate: baseline=0.5121513034909893 candidate=0.7017069251666617
latency_mean_seconds: baseline=64.31953091240442 candidate=52.28959237592965
latency_p50_seconds: baseline=39.04955078847706 candidate=26.469890078529716
latency_p95_seconds: baseline=211.52836836000208 candidate=165.2055960059748
latency_p99_seconds: baseline=381.509011583091 candidate=367.7940042851424
ttft_mean_seconds: baseline=16.69980476329302 candidate=12.578694991832757
ttft_p50_seconds: baseline=7.169187010033056 candidate=2.751246285974048
ttft_p95_seconds: baseline=61.00730516272595 candidate=51.65157245352165
ttft_p99_seconds: baseline=76.73403881680218 candidate=175.49673665246456
vllm_queue_time_mean_seconds: baseline=11.612193857889455 candidate=17.866540548047844
vllm_prefill_time_mean_seconds: baseline=4.412471425691399 candidate=2.8544369830851206
vllm_decode_time_mean_seconds: baseline=47.24307285973112 candidate=29.137783077352815
vllm_inference_time_mean_seconds: baseline=51.65554428542252 candidate=31.992220060437937
baseline router.applicable: False
candidate router.applicable: False
