AgentCache Benchmark Comparison
WARNING: baseline cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-baseline-jiuwenswarm-32_16-20260807_181634
WARNING: candidate cold start could not be confirmed for: /home/zhike/dxw/AgentCache/agentinfer/agentbench/results/main-ci-candidate-jiuwenswarm-32_16-20260807_181634
completed_tasks: baseline=10.0 candidate=30.0
failed_tasks: baseline=22.0 candidate=2.0
tasks_with_patch: baseline=32.0 candidate=32.0
mean_task_duration_seconds: baseline=1108.1372019292467 candidate=867.5512587762933
p50_task_duration_seconds: baseline=1080.7375580325024 candidate=836.1091732823988
p95_task_duration_seconds: baseline=1754.8480820806346 candidate=1402.3242969944142
p99_task_duration_seconds: baseline=1930.315758449482 candidate=1532.037430178791
run_wall_time_seconds: baseline=2439.727084 candidate=1954.798024
request_throughput_per_second: baseline=0.1610835911021923 candidate=0.2997752160608896
input_token_throughput_per_second: baseline=5400.661035576715 candidate=13891.984065152708
output_token_throughput_per_second: baseline=19.8530402509562 candidate=71.9163812700887
requests: baseline=393.0 candidate=586.0
successful_requests: baseline=319.0 candidate=565.0
failed_requests: baseline=74.0 candidate=21.0
input_tokens: baseline=13176139.0 candidate=27156023.0
output_tokens: baseline=48436.0 candidate=140582.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=8691712.0 candidate=24119008.0
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.4843837129797357 candidate=0.8839302520098604
vllm_prompt_token_hit_rate: baseline=0.5961374492390675 candidate=0.8905213719159256
latency_mean_seconds: baseline=80.75830924306977 candidate=40.34083593173633
latency_p50_seconds: baseline=60.69349365495145 candidate=20.97319921851158
latency_p95_seconds: baseline=212.69525812845677 candidate=148.37989954807563
latency_p99_seconds: baseline=291.41611025128503 candidate=299.9933745456627
ttft_mean_seconds: baseline=35.03383091528814 candidate=16.168731074160263
ttft_p50_seconds: baseline=16.589349169982597 candidate=1.2634681628551334
ttft_p95_seconds: baseline=120.64607329615392 candidate=107.58246714724221
ttft_p99_seconds: baseline=131.5562606973294 candidate=240.8478375998884
vllm_queue_time_mean_seconds: baseline=21.984983243613847 candidate=13.250141749172514
vllm_prefill_time_mean_seconds: baseline=4.888410726773077 candidate=2.071968117629104
vllm_decode_time_mean_seconds: baseline=32.709340468704475 candidate=21.288143252824902
vllm_inference_time_mean_seconds: baseline=37.59775119547756 candidate=23.360111370454007
baseline router.applicable: False
candidate router.applicable: False
