AgentCache Benchmark Comparison
completed_tasks: baseline=31.0 candidate=31.0
failed_tasks: baseline=1.0 candidate=1.0
tasks_with_patch: baseline=27.0 candidate=25.0
mean_task_duration_seconds: baseline=4084.521953173884 candidate=4707.837696274859
p50_task_duration_seconds: baseline=3955.6437669969164 candidate=4747.320493952138
p95_task_duration_seconds: baseline=6785.407485461491 candidate=8382.386814083415
p99_task_duration_seconds: baseline=7251.881136138989 candidate=8587.88928672764
run_wall_time_seconds: baseline=8821.493549 candidate=10111.731307
request_throughput_per_second: baseline=0.2351075799670122 candidate=0.20945967962318998
input_token_throughput_per_second: baseline=6924.752895945239 candidate=6547.908166246926
output_token_throughput_per_second: baseline=45.27600658340627 candidate=40.77620216377453
requests: baseline=2074.0 candidate=2118.0
successful_requests: baseline=2066.0 candidate=2110.0
failed_requests: baseline=8.0 candidate=8.0
input_tokens: baseline=61086663.0 candidate=66210688.0
output_tokens: baseline=399402.0 candidate=412318.0
cache_creation_input_tokens: baseline=None candidate=None
cached_input_tokens: baseline=None candidate=None
prefix_cache_hit_rate: baseline=None candidate=None
vllm_prefix_cache_hit_rate: baseline=0.34590757520268695 candidate=0.23049683660985376
vllm_prompt_token_hit_rate: baseline=0.52326880032781 candidate=0.5036274627237123
latency_mean_seconds: baseline=62.42142390632277 candidate=71.5486873773026
latency_p50_seconds: baseline=37.542967431945726 candidate=45.7265311293304
latency_p95_seconds: baseline=191.219595725066 candidate=221.53127484680138
latency_p99_seconds: baseline=355.14881946606556 candidate=415.6022012021482
ttft_mean_seconds: baseline=16.05028981655352 candidate=23.383767692747785
ttft_p50_seconds: baseline=6.405342735815793 candidate=9.402015548199415
ttft_p95_seconds: baseline=62.87491383394226 candidate=80.82524924313184
ttft_p99_seconds: baseline=85.01964310590198 candidate=111.64058269970104
vllm_queue_time_mean_seconds: baseline=11.078647308126417 candidate=18.06349215145086
vllm_prefill_time_mean_seconds: baseline=4.288746265493674 candidate=4.777817187373752
vllm_decode_time_mean_seconds: baseline=45.64629175605019 candidate=47.29070614087417
vllm_inference_time_mean_seconds: baseline=49.93503802154386 candidate=52.06852332824793
baseline router.applicable: False
candidate router.applicable: False
